KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_Q0TKMOc,"Arrival Log, Entry 1\n\nAfter emergingfrom the mysterious anomaly, Doctor Bonilla revived the rest of the flight crew. Ensign Caplin has determined that the anomaly has, somehow, transported us overtwo and a half million light years into the Andromeda Galaxy. \n\nOur ship’s chronometersays that we’ve only been in stasis for around four months. However, based onstar and galaxy positions, our computer has calculated that it’s been around600 years since we left Earth. I’m not sure how to explain this discrepancyother than the anomaly somehow transported us through time as well.\n\nIn addition to all that, we don't seem to have emerged in the same location as the rest of the fleet. I'm not sure if it's a good idea, but I plan on activating our distress beacon, hoping that the fleet isn't too far away to receive it.\n\n-Captain Earling",,,,,,,,,,到达日志，记录1\n\n从神秘异常中浮现后，博尼利亚医生唤醒了其余飞行机组人员。卡普林少尉确定，这个异常以某种方式将我们传送到了超过二百五十万光年外的仙女座星系。\n\n我们飞船的计时器显示我们只休眠了大约四个月。然而，基于恒星和星系的坐标，我们的计算机计算出自从我们离开地球已经过去了大约600年。我不太确定如何解释这个差异，除了那个异常也以某种方式让我们穿越了时间。\n\n除此之外，我们似乎没有与舰队其他成员出现在同一位置。我不确定这是否是个好主意，但我计划启动我们的求救信标，希望舰队不会太远而无法收到。\n\n——厄灵舰长,,,,,,
pda_mKmKioS,"Arrival Log, Entry 3\n\nAll the Cryo Modules have been ejected. The alien ship has sent drones to follow them, but two of them are on trajectory for the planet. Hopefully, they will survive the crash, and someone will eventually come out of cryo stasis. The planet registers as habitable, if a little on the hot end, so theyy have a chance, unlike us. \nMy last act was to order the rest of the flight crew onto Cryo Module 3, one of the two Modules with Oxygen Suits. They were supplied with the Auxiliary Ventilator and all the Emergency Rations we could find, giving them the best chance possible. Hopefully, the alien ship will continue to follow me, and they can somehow evade the drones.\n\n-Captain Earling",,,,,,,,,,到达日志，记录3\n\n所有低温舱已弹射。那艘外星飞船派出无人机追踪它们，但其中两个正朝着星球轨迹运行。希望它们能坠毁幸存，有人最终能从低温休眠中苏醒。该星球记录为适宜居住，虽然稍微偏热，所以他们有机会，不像我们。\n我的最后行动是命令其余飞行机组人员登上低温舱3——两个配备氧气防护服的舱之一。他们配备了辅助通风机和我们能找到的所有应急口粮，给了他们最好的生存机会。希望那艘外星飞船继续追踪我，而他们能设法避开无人机。\n\n——厄灵舰长,,,,,,
pda_ui4u8OG,"Arrival Log, Entry 3\n\nAll the Cryo Modules have been ejected. The alien ship has sent drones to follow them, but two of them are on trajectory for the planet. Hopefully, they will survive the crash, and someone will eventually come out of cryo stasis. The planet registers as habitable, if a little on the hot end, so theyy have a chance, unlike us. \nMy last act was to order the rest of the flight crew onto Cryo Module 3, one of the two Modules with Oxygen Suits. They were supplied with the Auxiliary Ventilator and all the Emergency Rations we could find, giving them the best chance possible. Hopefully, the alien ship will continue to follow me, and they can somehow evade the drones.\n\n-Captain Earling",,,,,,,,,,到达日志，记录3\n\n所有低温舱已弹射。那艘外星飞船派出无人机追踪它们，但其中两个正朝着星球轨迹运行。希望它们能坠毁幸存，有人最终能从低温休眠中苏醒。该星球记录为适宜居住，虽然稍微偏热，所以他们有机会，不像我们。\n我的最后行动是命令其余飞行机组人员登上低温舱3——两个配备氧气防护服的舱之一。他们配备了辅助通风机和我们能找到的所有应急口粮，给了他们最好的生存机会。希望那艘外星飞船继续追踪我，而他们能设法避开无人机。\n\n——厄灵舰长,,,,,,
pda_4iCmSqS,UES Leo (Part 2),,,,,,,,,,UES利奥号（第二部分）,,,,,,
pda_480SKqW,UES Leo: Missing Crew,,,,,,,,,,UES利奥号：失踪船员,,,,,,
pda_0q4g4O8,Locate the Crew,,,,,,,,,,定位船员,,,,,,
pda_K4OtGCm,Locate the Crew,,,,,,,,,,定位船员,,,,,,
pda_OmSOOOO,Locate the Crew,,,,,,,,,,定位船员,,,,,,
pda_Q4kCi8A,Cryo Module 3,,,,,,,,,,低温舱3,,,,,,
pda_am48mSu,Locate Cryo Module 3,,,,,,,,,,定位低温舱3,,,,,,
pda_KSeQmu8,Locate Cryo Module 3,,,,,,,,,,定位低温舱3,,,,,,
pda_Cq0mWGa,Cryo Module 3 Logs,,,,,,,,,,低温舱3日志,,,,,,
pda_eSaCm0m,Cryo Module Log 1,,,,,,,,,,低温舱日志1,,,,,,
pda_0CSSaCu,Cryo Module Log 1,,,,,,,,,,低温舱日志1,,,,,,
pda_Wau8qiS,"Engineering Log, Entry 1\n\nThe ship weathered the effects of the anomaly remarkably well. With little damage and only minor power drain, we should be able to initiate warp and begin looking for the rest of the fleet. If they fared as well as we did, perhaps we can regroup and possibly begin our colony here. We may not be in the same galaxy as we started, but we don't have much choice.\n\n-Engineer Cardenas",,,,,,,,,,工程日志，条目 1\n\n飞船非常出色地承受住了异常的影响。损伤很小，电力损耗也微不足道，我们应该能够启动翘曲并开始寻找舰队其余部分。如果他们也像我们一样幸运，也许我们可以重新集结并在此开始殖民地建设。我们可能不在原来的星系，但我们别无选择。\n\n- 工程师卡德纳斯,,,,,,
pda_IqaqEqO,"Engineering Log, Entry 2\n\nThe alien ship continues to pursue us. I've been taxing the engines as much as possible without overloading them, but we can't keep it up for much longer. The Captain says he has a plan to keep them off our backs, but I have a feeling he's not telling us everything. \n\nHe's ordered me to move the auxiliary ventilator and a few crates of cargo into Cryo Module 3. I think he's planning on having us use the Module as an escape pod. It's not a bad idea, if we can trick the aliens into following the Leo, instead of the Cryo Module.\n\n-Engineer Cardenas",,,,,,,,,,工程日志，条目 2\n\n外星飞船仍在追我们。我一直尽可能让引擎超负荷运转而不至于过载，但我们撑不了多久了。船长说他有办法甩掉他们，但我感觉他没把一切都告诉我们。\n\n他命令我把辅助通风机和几箱货物搬到低温休眠模块3。我猜他是想让我们用那个模块作为逃生舱。如果我们能骗外星人跟踪利奥号而不是低温休眠模块，这倒是个不错的主意。\n\n- 工程师卡德纳斯,,,,,,
pda_aS8046i,"Medical Log, Entry 2\n\nIt's official, this galaxy hates us. Not only did the distress call draw in a hostile alien ship, but the only habitable planet nearby is barely that. Parched mountains, rugged savanna, grueling plains, and shriveled lake-beds with the remains of once thriving plant and animal life, all make this planet a hostile environment. Even the radiation levels on the planet are well above tolerable, and a toxin in the atmosphere makes the air unbreathable. I would not want to be stuck here.\n\n-Doctor Bonilla",,,,,,,,,,医疗日志，条目 2\n\n确定了，这个星系和我们有仇。不仅求救信号引来了敌意外星飞船，而且附近唯一可居住的星球也只是勉强算得上。干涸的山脉、崎岖的稀树草原、严酷的平原，以及曾经繁茂的动植物遗骸构成的干涸湖床，所有这些都让这颗星球成为环境恶劣之地。就连星球上的辐射水平也远超可承受范围，大气中的某种毒素使得空气无法呼吸。我可不想被困在这里。\n\n- 博尼利亚医生,,,,,,
pda_Geam88C,"Medical Log, Entry 1\n\nIt seems all the Cryo Chambers have survived the voyage through the anomaly. If we manage to locate the rest of the fleet, we will be in great shape to set up a new colony, if we can find a habitable planet.\n\nLet's just hope the distress call the Captain wants to send out can get their attention, without drawing the attention of any... hostile entities.\n\n-Doctor Bonilla",,,,,,,,,,医疗日志，条目 1\n\n所有低温休眠舱似乎都平安渡过了异常之旅。如果我们能找到舰队其余部分，就能在找到宜居星球后很好地建立新殖民地。\n\n但愿船长想要发出的求救信号能引起他们的注意，而不会引来任何……敌意实体。\n\n- 博尼利亚医生,,,,,,
pda_KG8gi2G,"Helmsman Log, Entry 1\n\nI've calculated our trajectory through the anomaly, and compared it to the sensor logs of our trip. It appears that, in addition to catapulting us into another galaxy, and through time, but also increased the distance between each ship in the fleet during the journey. After calculating exactly how far we traveled, I was able to get an approximate location of each ship. \n\nIt seems that several of the smaller ships, like ours, may have emerged in systems not too far from where we did. Unfortunately, the Merryweather and the Bonneville have apparently ended up a lot further away.\n\n-Ensign Caplin, Helmsman",,,,,,,,,,舵手日志，条目 1\n\n我计算了穿越异常的轨迹，并与航行期间传感器日志进行了对比。看来，这次穿越不仅将我们抛向另一个星系，还穿越了时间，同时加大了舰队中各飞船在航行过程中的距离。在精确计算出我们航行了多远之后，我得以大致确定每艘飞船的位置。\n\n似乎有几艘和我们差不多的小型飞船可能出现在离我们不太远的星系中。不幸的是，梅里韦瑟号和邦纳维尔号显然最终落到了更远的地方。\n\n- 舵手卡普林少尉,,,,,,
pda_ieGuOGi,Cryo Module Log 2,,,,,,,,,,低温休眠模块日志 2,,,,,,
pda_qa2Kq8K,Cryo Module Log 3,,,,,,,,,,低温休眠模块日志 3,,,,,,
pda_mjq84Ck,Cryo Module Log 2,,,,,,,,,,低温休眠模块日志 2,,,,,,
pda_OOiiqaW,Cryo Module Log 3,,,,,,,,,,低温休眠模块日志 3,,,,,,
pda_OCOWGe0,Open PDA,,,,,,,,,,打开个人数据助理,,,,,,
pda_COimGie,Open PDA,,,,,,,,,,打开个人数据助理,,,,,,
pda_Eqii8Cr,Open PDA,,,,,,,,,,打开个人数据助理,,,,,,
pda_0wuM40a,Arrival Log 1,,,,,,,,,,抵达日志 1,,,,,,
pda_OGCquSW,Arrival Log 2,,,,,,,,,,抵达日志 2,,,,,,
pda_qmu1aqm,Arrival Log 3,,,,,,,,,,抵达日志 3,,,,,,
pda_uQiW03e,Engineer Log 1,,,,,,,,,,工程日志 1,,,,,,
pda_WuuGMuC,Engineer Log 2,,,,,,,,,,工程日志 2,,,,,,
pda_C0qKqv4,Engineer Log 3,,,,,,,,,,工程日志 3,,,,,,
pda_wWmCOqa,Medical Log 1,,,,,,,,,,医疗日志 1,,,,,,
pda_GuOm0mq,Medical Log 2,,,,,,,,,,医疗日志 2,,,,,,
pda_SiK840S,"Medical, Log 3",,,,,,,,,,医疗日志 3,,,,,,
pda_4KW0KCm,Helmsman Log 1,,,,,,,,,,舵手日志 1,,,,,,
pda_KS2KK70,Helmsman Log 2,,,,,,,,,,舵手日志 2,,,,,,
pda_WaGOCqi,Helmsman Log 3,,,,,,,,,,舵手日志 3,,,,,,
pda_uiCmSOm,UES Speedwell,,,,,,,,,,UES速威号,,,,,,
pda_Ouu0WCq,Arrival Log 3,,,,,,,,,,抵达日志 3,,,,,,
pda_GWSS0e0,You have uncovered the UES Speedwell: Arrival Log 1,,,,,,,,,,你发现了UES速威号：抵达日志 1,,,,,,
pda_O8Km4iG,You have uncovered the UES Speedwell: Arrival Log 2,,,,,,,,,,你发现了UES速威号：抵达日志 2,,,,,,
pda_mOWGqeG,You have uncovered the UES Speedwell: Arrival Log 3,,,,,,,,,,你发现了UES速威号：抵达日志 3,,,,,,
pda_CeiWCGC,You have uncovered the UES Speedwell: Arrival Log 3,,,,,,,,,,你发现了UES速威号：抵达日志 3,,,,,,
pda_SiuOWSY,You have uncovered the UES Speedwell: Engineering Log 3,,,,,,,,,,你发现了UES速威号：工程日志 3,,,,,,
pda_eOWWw8O,You have uncovered the UES Speedwell: Engineering Log 2,,,,,,,,,,你发现了UES速威号：工程日志 2,,,,,,
pda_wWu8Kam,You have uncovered the UES Speedwell: Engineering Log 1,,,,,,,,,,你发现了UES速威号：工程日志 1,,,,,,
pda_YuqSCum,You have uncovered the UES Speedwell: Medical Log 1,,,,,,,,,,你发现了UES速威号：医疗日志 1,,,,,,
pda_eegWW04,You have uncovered the UES Speedwell: Medical Log 2,,,,,,,,,,你发现了UES速威号：医疗日志 2,,,,,,
pda_i1uWeGF,You have uncovered the UES Speedwell: Medical Log 3,,,,,,,,,,你发现了UES速威号：医疗日志 3,,,,,,
pda_KCKK8Su,You have uncovered the UES Speedwell: Helmsman Log 3,,,,,,,,,,你发现了UES速威号：舵手日志 3,,,,,,
pda_1eGm4qe,You have uncovered the UES Speedwell: Helmsman Log 2,,,,,,,,,,你发现了UES速威号：舵手日志 2,,,,,,
pda_GnrC8Gi,You have uncovered the UES Speedwell: Helmsman Log 1,,,,,,,,,,你发现了UES速威号：舵手日志 1,,,,,,
pda_qU0iKuR,wait,,,,,,,,,,等待,,,,,,
pda_e0i0WGW,wait,,,,,,,,,,等待,,,,,,
pda_qSo4qOS,wait,,,,,,,,,,等待,,,,,,
pda_OaO4C2m,wait,,,,,,,,,,等待,,,,,,
pda_u9GOeSe,wait,,,,,,,,,,等待,,,,,,
pda_ie0uO4u,wait,,,,,,,,,,等待,,,,,,
pda_qa440OC,wait,,,,,,,,,,等待,,,,,,
pda_quSeqe8,wait,,,,,,,,,,等待,,,,,,
pda_KeveSuS,wait,,,,,,,,,,等待,,,,,,
pda_iOeSq70,wait,,,,,,,,,,等待,,,,,,
pda_KBx0QHG,wait,,,,,,,,,,等待,,,,,,
pda_W8q8Sa4,wait,,,,,,,,,,等待,,,,,,
pda_mCqK0CG,wait,,,,,,,,,,等待,,,,,,
pda_mKJQ8aG,wait,,,,,,,,,,等待,,,,,,
pda_q4W0K4O,wait,,,,,,,,,,等待,,,,,,
pda_msMO440,wait,,,,,,,,,,等待,,,,,,
pda_WEiKmCa,wait,,,,,,,,,,等待,,,,,,
pda_W0q4WaH,wait,,,,,,,,,,等待,,,,,,
pda_0mCqmwS,wait,,,,,,,,,,等待,,,,,,
pda_aKFiGqW,wait,,,,,,,,,,等待,,,,,,
pda_KCaESaO,wait,,,,,,,,,,等待,,,,,,
pda_8KqqCeO,wait,,,,,,,,,,等待,,,,,,
pda_GuiuGua,wait,,,,,,,,,,等待,,,,,,
pda_Cc5ieiq,wait,,,,,,,,,,等待,,,,,,
pda_eSNaKGu,wait,,,,,,,,,,等待,,,,,,
pda_KCGm4oo,wait,,,,,,,,,,等待,,,,,,
pda_mmm8WOa,wait,,,,,,,,,,等待,,,,,,
pda_aqiiSOW,wait,,,,,,,,,,等待,,,,,,
pda_wOLG4qm,wait,,,,,,,,,,等待,,,,,,
pda_oKiKeeO,wait,,,,,,,,,,等待,,,,,,
pda_G0ucOK8,wait,,,,,,,,,,等待,,,,,,
pda_qW4iSC0,wait,,,,,,,,,,等待,,,,,,
pda_0qMKSea,wait,,,,,,,,,,等待,,,,,,
pda_eq00meq,wait,,,,,,,,,,等待,,,,,,
pda_mSiSnKD,wait,,,,,,,,,,等待,,,,,,
pda_iGOh800,wait,,,,,,,,,,等待,,,,,,
pda_qWu743W,wait,,,,,,,,,,等待,,,,,,
pda_aqKmeaq,wait,,,,,,,,,,等待,,,,,,
pda_0DOCKaO,wait,,,,,,,,,,等待,,,,,,
pda_SSu0qGi,Awakening,,,,,,,,,,苏醒,,,,,,
pda_aCauaVZ,Escape the UES Speedwell: Survival,,,,,,,,,,逃离UES速威号：生存,,,,,,
pda_UZ0qiuO,Escape the UES Speedwell: Planetfall,,,,,,,,,,逃离UES速威号：着陆,,,,,,
pda_iuumKSq,Helmsman Log 3,,,,,,,,,,舵手日志 3,,,,,,
pda_CiDO8qW,wait,,,,,,,,,,等待,,,,,,
pda_NKCaaKK,wait,,,,,,,,,,等待,,,,,,
pda_OACm4qC,wait,,,,,,,,,,等待,,,,,,
pda_04gGIWe,Search for Clues,,,,,,,,,,寻找线索,,,,,,
pda_Oo8Siua,Access a nearby console.,,,,,,,,,,访问附近的一个控制台。,,,,,,
pda_OuXu4SS,Access a nearby console.,,,,,,,,,,访问附近的一个控制台。,,,,,,
pda_aeCKYSK,Escape the UES Speedwell,,,,,,,,,,逃离UES速威号,,,,,,
pda_GK8uT4G,Make your way to the Planet's Surface,,,,,,,,,,前往星球表面,,,,,,
pda_GCS8eiW,Enter Tohh's Atmosphere,,,,,,,,,,进入图赫星大气层,,,,,,
pda_gqC8aui,Survival,,,,,,,,,,生存,,,,,,
pda_Sc8W8Wc,Make your way to Cargo Module Two,,,,,,,,,,前往货舱模块二,,,,,,
pda_0Ca4oSe,Enter Cargo Module 2,,,,,,,,,,进入货舱模块 2,,,,,,
pda_KuiiKGa,Open PDA,,,,,,,,,,打开个人数据助理,,,,,,
pda_MmmaiRW,Open PDA,,,,,,,,,,打开个人数据助理,,,,,,
pda_m9Kumim,Open PDA,,,,,,,,,,打开个人数据助理,,,,,,
chptitleTacticalCombatSnow2,Rank 1,,,,,,,,,,等级 1,,,,,,
chpdescTacticalCombatSnow2,Eliminating additional enemy forces will help you learn more about their combat tactics.,,,,,,,,,,消灭更多敌方部队将有助于你了解他们的战斗战术。,,,,,,
tasktitleTacticalCombatSnow2,Enemy Combatants,,,,,,,,,,敌方战斗人员,,,,,,
acttitleTacticalCombatSnow2,Zirax Forces,,,,,,,,,,兹瑞克斯部队,,,,,,
actdescTacticalCombatSnow2,Kill 25 Zirax Soldiers or Ripper Dogs,,,,,,,,,,击杀25名兹瑞克斯士兵或撕裂犬,,,,,,
chptitleTacticalCombatSnow3,Rank 2,,,,,,,,,,等级 2,,,,,,
chpdescTacticalCombatSnow3,"Eleminate Enemy Drones ",,,,,,,,,,消灭敌方无人机,,,,,,
tasktitleTacticalCombatSnow3,Enemy Assault Drones,,,,,,,,,,敌方突击无人机,,,,,,
acttitleTacticalCombatSnow3,Alien Drones,,,,,,,,,,外星无人机,,,,,,
actdescTacticalCombatSnow3,Destroy ten enemy Drones,,,,,,,,,,摧毁十架敌方无人机,,,,,,
chptitleTacticalCombatSnow4,Rank 3,,,,,,,,,,等级 3,,,,,,
chpdescTacticalCombatSnow4,Reduce Zirax Territory by taking out the core of their structures.,,,,,,,,,,通过摧毁兹瑞克斯建筑的核心来削弱他们的领地。,,,,,,
tasktitleTacticalCombatSnow4,Ziarax Defense Towers,,,,,,,,,,兹瑞克斯防御塔,,,,,,
acttitleTacticalCombatSnow4,Defense Towers,,,,,,,,,,防御塔,,,,,,
actdescTacticalCombatSnow4,Destroy the Core of 5 Zirax Defensive Towers,,,,,,,,,,摧毁5座兹瑞克斯防御塔的核心,,,,,,
chptitleTacticalCombatSnow5,Rank 5 - Rados Drone Base,,,,,,,,,,等级 5 - 拉多斯无人机基地,,,,,,
chpdescTacticalCombatSnow5,"In order to drive the Zirax off the planet, you must take out their Drone Base!!!",,,,,,,,,,为了将兹瑞克斯赶出这颗星球，你必须摧毁他们的无人机基地！！！,,,,,,
tasktitleTacticalCombatSnow5a,Rados Drone Base: Assault,,,,,,,,,,拉多斯无人机基地：突击,,,,,,
acttitleTacticalCombatSnow5a,Attack and Infiltrate the Rados Drone Base.,,,,,,,,,,攻击并渗透拉多斯无人机基地。,,,,,,
actdescTacticalCombatSnow5a,"Locate the Rados Drone Base, plan your assault, and enact your plan. Don't forget, you must take down the base's shields before you can take out the core. Deal enough damage and the shields will come down.\n\nHint: If you are allied with a scout, they may have found the base already.\nHint: An Engineer may be able to help you get past difficult door codes.",,,,,,,,,,定位拉多斯无人机基地，制定你的攻击计划，并付诸实施。别忘了，在摧毁核心之前必须先击破基地护盾。造成足够伤害后护盾就会失效。\n\n提示：如果你与侦察飞船结盟，他们可能已经找到了该基地。\n提示：工程师也许能帮你破解困难的门禁密码。,,,,,,
tasktitleTacticalCombatSnow5b,Rados Drone Base: Core Access,,,,,,,,,,拉多斯无人机基地：核心入口,,,,,,
acttitleTacticalCombatSnow5b,Access the Core Room,,,,,,,,,,进入核心室,,,,,,
actdescTacticalCombatSnow5b,Gain Access to the Core Room of the Rados Drone Base.,,,,,,,,,,进入拉多斯无人机基地的核心室。,,,,,,
tasktitleTacticalCombatSnow5c,Rados Drone Base: Core Room,,,,,,,,,,拉多斯无人机基地：核心室,,,,,,
acttitleTacticalCombatSnow5c,Destroy the Core.,,,,,,,,,,摧毁核心。,,,,,,
actdescTacticalCombatSnow5c,Destroy the Core of the Rados Drone Base.,,,,,,,,,,摧毁拉多斯无人机基地的核心。,,,,,,
chptitleTacticalCombatSnow6,Rank 6,,,,,,,,,,等级 6,,,,,,
chpdescTacticalCombatSnow6,Destroy 50 Zirax Space Drones,,,,,,,,,,摧毁50架兹瑞克斯太空无人机,,,,,,
tasktitleTacticalCombatSnow6,Space Wars,,,,,,,,,,太空战争,,,,,,
acttitleTacticalCombatSnow6,Destroy Space Drones,,,,,,,,,,摧毁太空无人机,,,,,,
actdescTacticalCombatSnow6,Destroy 50 Zirax Space Drones to keep the Zirax on the defensive.,,,,,,,,,,摧毁50架兹瑞克斯太空无人机，让兹瑞克斯处于守势。,,,,,,
chptitleTacticalCombatSnow7,Rank 7,,,,,,,,,,等级 7,,,,,,
chpdescTacticalCombatSnow7,Defeat a Zirax Orbital Patrol Vessel,,,,,,,,,,击败一艘兹瑞克斯轨道巡逻飞船,,,,,,
pda_SnowCB,Specialty: Combat (Snow),,,,,,,,,,专长：战斗（雪地）,,,,,,
pda_ui40WeO,Search the Crew Logs for clues.,,,,,,,,,,搜索船员日志以寻找线索。,,,,,,
pda_SqKqC8a,Search Crew Logs,,,,,,,,,,搜索船员日志,,,,,,
pda_0leO0Wu,Search the Crew Logs,,,,,,,,,,搜索船员日志,,,,,,
pda_4CPm8CO,"Medical Log, Entry 1\n\nWe've emerged from the anomaly, and I've woken up the Flight Crew. The Captain seems to be he usual optimistic self, although I would not be as optimistic myself, were it not for the fact that we seem to be in, more or less, one piece. The only thing that has me worried is that the rest of the UE fleet has not arrived where we did.\n\nIt appears we're going to be here alone for a while. Seeing as the Fukushima and the Merryweather were the only ships carrying legitimate medical facilities, I had to make due with what I had. I've used some left over scraps of medical equipment we had lying around to put together a Ramshackle Healing Station. It's not as useful as a full Medic Station, no built in Emergency Teleporter, but it will slowly heal someone inside.\n\n-Doctor Schneider",,,,,,,,,,医疗日志，条目1\n\n我们已经从异常中出来，我叫醒了飞行组。船长还是他惯常的乐观态度，而我自己也乐观不起来，要不是我们大体上还算完整的话。唯一让我担心的是UE舰队的其他部分没有到达我们所在的地方。\n\n看来我们要独自在这里待一段时间了。考虑到福岛号和梅里韦瑟号是仅有的携带正规医疗设施的飞船，我只能凑合使用手头的材料。我用我们周围剩下的医疗设备碎片拼凑了一个简陋的治疗站。它不如完整的医疗站有用，没有内置的紧急传送器，但可以缓慢治疗里面的人。\n\n——施耐德医生,,,,,,
pda_Qi4CqO0,"Engineering Log, Entry 3\n\nThere's not much point in keeping these logs. I doubt anyone will find them. But on the off chance that someone does, There's something you should know.\nOne of the cargo containers in Cargo Module One contains a Teleporter. It' doesn't have much power, but it might get you to the surface of the planet. I would use it myself, but Captain Dominguez has just ejected it to keep the aliens from getting to it.\n\nIf you manage to get an Oxygen Suit, perhaps you can jetpack over to it. If you do, remember the Activation Switch Code: 1899\nI don't stand much of a chance against these aliens, but perhaps someone with combat experience will awaken and take back the ship. Good Luck.\n\n-Engineer Vaughn",,,,,,,,,,工程日志，条目3\n\n保留这些日志没什么意义。我怀疑没人会找到它们。但万一有人找到了，有些事情你应该知道。\n货舱模块一中的一个货物容器里有一个传送器。它电量不多，但也许能把你送到星球表面。我自己想用它，但多明戈斯船长刚刚把它弹射出去，以防止外星人得到它。\n\n如果你能弄到氧气防护服，也许可以用喷气背包飞到它那里。如果成功了，记住激活开关密码：1899\n我对付这些外星人没什么机会，但也许有战斗经验的人会苏醒并夺回飞船。祝你好运。\n\n——沃恩工程师,,,,,,
pda_iuiC8Ce,"Engineering Log, Entry 2\n\nThe Captain has me pushing the engines as hard as I can to get to this distress signal our sensors detected. Ensign Neibuhr has analyzed the signal and, somehow, it appears to be a genuine distress signal on a United Earth frequency.\n\nThe only reasoning I can come up with is that it's one of the other UE Ships, but if it is, why aren't they sending out their contact ID along with it? That's standard protocol. There shouldn't be anyone else from Earth in this galaxy, even after six hundred years I doubt that humans could have traveled this far. But then again, we did.\n\n-Engineer Vaughn",,,,,,,,,,工程日志，条目2\n\n船长让我尽可能用力推动引擎，以便到达传感器探测到的这个求救信号。尼布尔少尉分析了信号，不知怎的，它似乎是联合地球频率上的一个真实求救信号。\n\n我能想到的唯一解释是这是其他UE飞船之一，但如果是这样，为什么他们不一起发送自己的联系ID？那是标准协议。这个星系不应该有来自地球的其他任何人，即使过了六百年，我也不认为人类能旅行这么远。但话说回来，我们做到了。\n\n——沃恩工程师,,,,,,
pda_4eWWWa4,"Engineering Log, Entry 1\n\nI am amazed at how well the ship held up through the anomaly. We suffered very little hull damage, and what internal damage we did suffer was easily repairable. Captain Dominguez has decided to begin searching for a place where we, and hopefully all the other UE Ships, can set up our colony. I have my reservations about pushing the engines so hard just after emerging from the anomaly, but as long as we don't go too far in one jump, we should be fine.\n\n-Engineer Vaughn",,,,,,,,,,工程日志，条目1\n\n我很惊讶飞船在异常中竟然保持得如此完好。我们只受到了很少的船体损伤，而内部损伤也容易修复。多明戈斯船长决定开始寻找一个地方，让我们以及希望所有其他UE飞船能够建立殖民地。我对刚从异常中出来就如此大力推动引擎有所保留，但只要一次跳跃不要太远，我们应该没问题。\n\n——沃恩工程师,,,,,,
pda_GeG4m4e,"Arrival Log, Entry 3\nWe should have never answered that damned distress signal. As soon as we entered orbit around the snow planet, we were ambushed by three alien vessels. They immediately took out one of our engines, and the bridge. Fortunately, Ensign Neibuhr saw them coming and evacuated the bridge before it was destroyed.\n\nWe'll do what we can to fight them, but it seems that the distress signal coming from the planet's surface was nothing but a trap. How they got a United Earth distress signal is beyond me, unless they captured one of the other UE Ships of our fleet, not that it matters now. If  we could have only made it to the planet, perhaps we could have stood a chance..\n\n-Captain Dominguez",,,,,,,,,,到达日志，条目3\n我们当初就不该回应那个该死的求救信号。我们刚进入雪星球轨道，就遭到了三艘外星飞船的伏击。他们立即摧毁了我们的一台引擎和舰桥。幸运的是，尼布尔少尉看到了他们的到来，在舰桥被毁前疏散了人员。\n\n我们会尽力反击，但似乎来自星球表面的求救信号不过是个陷阱。他们是如何获得联合地球的求救信号的，我实在想不通，除非他们捕获了我们舰队中的另一艘UE飞船，不过现在这已经不重要了。要是我们能成功降落到星球上，或许还有机会……\n\n——多明戈斯船长,,,,,,
pda_0m084q3,"Arrival Log, Entry 3\nWe should have never answered that damned distress signal. As soon as we entered orbit around the snow planet, we were ambushed by three alien vessels. They immediately took out one of our engines, and the bridge. Fortunately, Ensign Neibuhr saw them coming and evacuated the bridge before it was destroyed.\n\nWe'll do what we can to fight them, but it seems that the distress signal coming from the planet's surface was nothing but a trap. How they got a United Earth distress signal is beyond me, unless they captured one of the other UE Ships of our fleet, not that it matters now. If  we could have only made it to the planet, perhaps we could have stood a chance..\n\n-Captain Dominguez",,,,,,,,,,到达日志，条目3\n我们当初就不该回应那个该死的求救信号。我们刚进入雪星球轨道，就遭到了三艘外星飞船的伏击。他们立即摧毁了我们的一台引擎和舰桥。幸运的是，尼布尔少尉看到了他们的到来，在舰桥被毁前疏散了人员。\n\n我们会尽力反击，但似乎来自星球表面的求救信号不过是个陷阱。他们是如何获得联合地球的求救信号的，我实在想不通，除非他们捕获了我们舰队中的另一艘UE飞船，不过现在这已经不重要了。要是我们能成功降落到星球上，或许还有机会……\n\n——多明戈斯船长,,,,,,
